City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,whitehorse,60.7161,-135.0538,0.01,92,75,8.75,CA,1736450473
311,siavonga,-16.5382,28.7088,26.25,72,100,3.59,ZM,1736450475
312,greymouth,-42.4667,171.2,15.67,81,100,1.7,NZ,1736450476
313,san antonio de pale,-1.4014,5.6325,26.91,82,21,4.4,GQ,1736450477
314,qeshm,26.9581,56.2719,20.69,38,0,6.56,IR,1736450478
315,ormara,25.2088,64.6357,21.4,49,0,0.12,PK,1736450479
316,lazaro cardenas,17.9583,-102.2,28.06,60,100,3.77,MX,1736450240
317,xinzhou,38.4092,112.7333,-8.03,31,7,0.56,CN,1736450482
318,buka,40.8108,69.1986,-0.36,40,0,0.82,UZ,1736450483
319,dingli,35.8614,14.3822,14.9,82,20,3.09,MT,1736450484
320,hengchun,22.0042,120.7439,17.66,74,100,11.24,TW,1736450485
321,labytnangi,66.6572,66.4183,-12.75,95,100,5.21,RU,1736450486
322,mount isa,-20.7333,139.5,27.87,74,7,3.6,AU,1736450397
323,port douglas,-16.4833,145.4667,25.27,80,31,1.63,AU,1736450489
324,sidney,-33.8679,151.2073,20.4,88,75,3.09,AU,1736450471
325,zvenigovo,55.9742,48.0181,-1.68,92,100,4.05,RU,1736450491
326,myeik,12.4333,98.6,24.11,71,38,2.11,MM,1736450492
327,ouadda,8.0777,22.4007,23.25,22,100,2.37,CF,1736450494
328,swinoujscie,53.9105,14.2471,0.08,100,100,3.6,PL,1736450495
329,santa rosalia,27.3167,-112.2833,17.15,39,0,2.57,MX,1736450496
330,codrington,-38.2667,141.9667,17.23,80,78,1.97,AU,1736450497
331,newman,37.3138,-121.0208,13.36,68,0,0.89,US,1736450438
332,udachny,66.4167,112.4,-21.16,100,100,1.54,RU,1736450499
333,urangan,-25.3,152.9,24.45,77,35,2.38,AU,1736450501
334,krasnoyarskaya,47.6501,42.0443,6.35,92,66,0.64,RU,1736450502
335,zaozersk,69.4005,32.4476,-12.67,94,97,2.34,RU,1736450503
336,nyandoma,61.669,40.1991,-16.31,100,100,2.3,RU,1736450504
337,santa ana,33.7456,-117.8678,24.09,19,20,3.6,US,1736450385
338,saint-pierre,-21.3393,55.4781,27.82,65,0,8.75,RE,1736450506
339,kalundborg,55.6795,11.0886,4.01,77,62,3.81,DK,1736450508
340,ebaye,8.7748,167.7392,26.01,89,75,7.72,MH,1736450509
341,wetaskiwin,52.9668,-113.3687,-5.81,87,17,1.86,CA,1736450510
342,labrador city,52.9463,-66.9114,-1.05,81,100,11.18,CA,1736450511
343,saint-philippe,-21.3585,55.7679,26.37,85,25,5.18,RE,1736450512
344,alofi,-19.0595,-169.9187,25.94,83,40,3.09,NU,1736450513
345,beyneu,45.3167,55.2,-1.95,59,5,5.75,KZ,1736450515
346,kloulklubed,7.0419,134.2556,28.51,77,100,8.65,PW,1736450516
347,nemuro,43.3236,145.575,-2.42,63,60,1.35,JP,1736450517
348,isiro,2.7739,27.616,21.91,39,81,1.11,CD,1736450518
349,pader palwo,2.8006,33.135,26.42,37,24,3.06,UG,1736450519
350,cuatro cienegas de carranza,26.9833,-102.0833,3.81,85,100,0.47,MX,1736450520
351,crane,31.3974,-102.3501,5.82,52,97,2.53,US,1736450522
352,port augusta,-32.5,137.7667,20.43,59,16,4.86,AU,1736450408
353,haiku-pauwela,20.9219,-156.3051,24.57,76,40,8.05,US,1736450524
354,westport,41.1415,-73.3579,2.75,50,53,5.81,US,1736450525
355,lompoc,34.6391,-120.4579,20.94,42,0,2.06,US,1736450526
356,noshiro,40.2039,140.0242,-0.11,53,100,8.18,JP,1736450527
357,kununurra,-15.7667,128.7333,23.99,94,75,5.66,AU,1736450529
358,bam,29.106,58.357,10.93,30,100,3.67,IR,1736450530
359,ribeira grande,38.5167,-28.7,19.32,94,75,12.52,PT,1736450531
360,idiroko,6.6333,2.7333,26.57,75,32,3.17,NG,1736450532
